Symbol,ADF_Statistic,ADF_p-value,Critical_Values,Hurst_Exponent,Current_Ratio,Current_MA
FCUS,-2.898033256519,0.045577181453371224,"{'1%': -3.460154163751041, '5%': -2.874648939216792, '10%': -2.5737567259151044}",0.3688578403086154,1.0161975337300848,21.711329999999997
FEDL,-3.1593788421358955,0.022459719338945968,"{'1%': -3.442383534871275, '5%': -2.8668480382580386, '10%': -2.569597004924258}",0.4883631831355457,1.037194257667961,30.068619999999996
FLDZ,-3.663754889499258,0.004652842027024302,"{'1%': -3.444280551073031, '5%': -2.867682902679315, '10%': -2.5700419306592934}",0.38760380889133494,0.9976755737801875,22.487270000000002
FRAF,-2.9661635036957223,0.03817741623593209,"{'1%': -3.43722314744835, '5%': -2.8645743628401763, '10%': -2.5683856650361054}",0.49864771220246823,1.1340387768097877,29.522799999999997
FTAAU,-2.8621604804715677,0.04992848117593937,"{'1%': -3.4400174432106305, '5%': -2.8658060125001295, '10%': -2.569041777564251}",0.4707614555312312,1.0,10.17
GAMB,-2.8747230201415124,0.04836731260502593,"{'1%': -3.441714324024304, '5%': -2.8665533998436215, '10%': -2.5694399997605393}",0.48527534203711375,0.8082937972236865,12.804749999999999
GDVD,-3.1535395510799877,0.02283648238640154,"{'1%': -3.4464005219454155, '5%': -2.868615280538588, '10%': -2.570538905413444}",0.4921014377579771,1.0098003755114207,22.00732
GFS,-3.656175682106828,0.004773555892115467,"{'1%': -3.443061925077973, '5%': -2.8671466525252014, '10%': -2.5697561378507907}",0.4824172003675038,0.9761822622950252,57.683899999999994
GGAUF,-3.337155128678603,0.013297159140253196,"{'1%': -3.4441047380903007, '5%': -2.867605550172837, '10%': -2.570000704119326}",0.4877083762721944,0.8417383013274139,13.4246
GODNU,-3.0579322485460434,0.029827121464360444,"{'1%': -3.4825006939887997, '5%': -2.884397984161377, '10%': -2.578960197753906}",0.46784471568314934,0.9967563025051746,10.61443
HART,-3.1047037701887494,0.026207041117350727,"{'1%': -3.4395289262948894, '5%': -2.8655907692307694, '10%': -2.5689271030368235}",0.40976823698649484,0.99241082767553,27.75665
HBANL,-2.9263888921396375,0.04236426241646659,"{'1%': -3.466598080268425, '5%': -2.8774669520682674, '10%': -2.5752604356654425}",0.3812461841428808,0.9784835586720496,23.53642
HGER,-3.5781683673454983,0.006192382910465389,"{'1%': -3.4451978474132234, '5%': -2.8680864144212057, '10%': -2.5702569996789792}",0.4164184866708838,0.9918480298449794,22.671819999999997
HIDE,-2.923752614886331,0.04265479397494967,"{'1%': -3.4566744514553016, '5%': -2.8731248767783426, '10%': -2.5729436702592023}",0.4007030839579005,1.0045473441088992,23.62258
HKND,-3.24641490461893,0.017450371932103702,"{'1%': -3.439876604020831, '5%': -2.8657439615125675, '10%': -2.5690087183208665}",0.4372247352090626,1.000697221855706,27.73866
HOTL,-3.3420365438963313,0.013100867384079413,"{'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}",0.4217713325258728,1.0086865768154818,14.502721
HTFC,-2.9462329346968734,0.04022985405589251,"{'1%': -3.4492815848836296, '5%': -2.8698813715275406, '10%': -2.5712138845950587}",0.4262537001090206,1.0025481258416022,24.06867
HYGI,-2.9483292486526826,0.04000972164741557,"{'1%': -3.44911857009962, '5%': -2.8698097654570507, '10%': -2.5711757061225153}",0.4647136180325299,1.0066346282471843,25.04285
IBHH,-2.9530416671582644,0.039518551290063625,"{'1%': -3.44594128742536, '5%': -2.868413360220551, '10%': -2.570431271085555}",0.4598672082412958,1.0074837676688853,22.284229999999997
IOR,-5.846295939541406,3.676908096679864e-07,"{'1%': -3.437081640468809, '5%': -2.864511960193817, '10%': -2.568352427087857}",0.4985702639441544,1.0068618907004883,11.8189
IRWD,-3.0261262590714053,0.03252552771374828,"{'1%': -3.437116468121892, '5%': -2.864527318984441, '10%': -2.5683606077036214}",0.44260175887023767,1.010999007608336,9.6736
JAVA,-3.5029505247828383,0.007911640881030482,"{'1%': -3.442678467240966, '5%': -2.8669778698997543, '10%': -2.5696661916864083}",0.3919097819116347,0.9957570100949948,52.392300000000006
JHDV,-2.998300212330465,0.03505344426019727,"{'1%': -3.4535872903895797, '5%': -2.871771355211212, '10%': -2.5722217283277127}",0.49077195104619065,1.0134333859574716,28.459690000000002
JJSF,-3.568879913312888,0.006384618438294313,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4806850012186943,1.0284556058951695,161.9224
JMEE,-5.153155605529077,1.0949473929939648e-05,"{'1%': -3.4483935212959844, '5%': -2.8694912343676497, '10%': -2.571005879151811}",0.4073335117051359,1.0007011384999522,49.40536
KAR,-4.183002305659095,0.0007039396980781054,"{'1%': -3.43706091543889, '5%': -2.8645028204932483, '10%': -2.568347558984588}",0.4997209017649632,0.984637522817209,15.010600000000002
KJUL,-3.113267223249666,0.025586807391263514,"{'1%': -3.438057561354894, '5%': -2.864942268638857, '10%': -2.5685816343390853}",0.4702645061317051,0.9949203787330242,25.32866
KMB,-3.5544580928714455,0.006693812952966367,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4581256700726805,0.9596913784557204,126.2906
KONG,-2.9662947549343897,0.038164196924418144,"{'1%': -3.4415584920942424, '5%': -2.866484781324317, '10%': -2.569403436033035}",0.4519891343710187,0.993638432069636,25.416690000000003
LDOS,-4.091093399118267,0.0010018820831572224,"{'1%': -3.437116468121892, '5%': -2.864527318984441, '10%': -2.5683606077036214}",0.4900127419511677,1.1074789020324123,95.04469999999999
LNT,-3.1980221583012987,0.02009945028492762,"{'1%': -3.4371305002986277, '5%': -2.864533507042016, '10%': -2.5683639036818957}",0.4956792529535736,0.9677343261636203,50.8714
MBOX,-3.345193393582881,0.012975294211310376,"{'1%': -3.4406089407081604, '5%': -2.866066583404541, '10%': -2.5691806079101562}",0.43259853560108674,1.0245675799785705,26.131999999999998
MGEE,-3.2893548553377743,0.015361070355204134,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.42806485062855376,0.996206462983461,74.44239999999999
MIDE,-3.1365243956878066,0.023965664572191552,"{'1%': -3.439904442607456, '5%': -2.8657562268758907, '10%': -2.569015252972123}",0.41357821145979173,0.9915904667761192,25.62449
MISL,-3.316316774761584,0.01416468345528716,"{'1%': -3.4550813975770827, '5%': -2.8724265892710914, '10%': -2.5725712007462582}",0.45178555097537304,1.035913199981317,22.908289999999997
MPAY,-3.0719568489649496,0.02869932277420305,"{'1%': -3.447405233596701, '5%': -2.8690569369014605, '10%': -2.5707743450830893}",0.41776405366949615,0.9854104606983269,22.179589999999997
MSGS,-3.9577529502969,0.0016486229295447742,"{'1%': -3.437081640468809, '5%': -2.864511960193817, '10%': -2.568352427087857}",0.4500715838748735,0.9414395295209007,182.8264
NBCC,-3.283658734984161,0.015624919709209607,"{'1%': -3.446599953548936, '5%': -2.86870295908671, '10%': -2.570585643956714}",0.48923787427519233,0.9890298405539097,21.16013
NBCM,-3.0697777095884797,0.02887213197021411,"{'1%': -3.454988209954765, '5%': -2.8723857312734613, '10%': -2.572549407997327}",0.36657641917600386,0.9874489918507545,22.39103
NBIX,-3.0149892813496786,0.03351810359940093,"{'1%': -3.4370678095881804, '5%': -2.8645058608075264, '10%': -2.568349178354273}",0.49609384031442566,1.0159555568404472,107.2291
NHC,-3.659062325385137,0.004727247844869798,"{'1%': -3.4370885772879083, '5%': -2.8645150193044464, '10%': -2.5683540564723377}",0.41907435309427565,1.1544426025377568,65.45150000000001
NTRB,-3.694769057991621,0.00418733654957574,"{'1%': -3.442819521824351, '5%': -2.8670399588708047, '10%': -2.5696992792614384}",0.4909603458437587,0.7712436303539458,2.9044
NWE,-3.462420999880418,0.00900630944614879,"{'1%': -3.4371943720994165, '5%': -2.8645616735407002, '10%': -2.568378906211183}",0.4522672758439063,0.9896479771765211,51.8063
NWFL,-4.045809290492442,0.0011887504024789494,"{'1%': -3.437109473790722, '5%': -2.8645242345396436, '10%': -2.568358964820916}",0.44642512722952704,0.9892442174178927,27.799
NWPX,-3.1354777850777404,0.0240366676122398,"{'1%': -3.437123476942836, '5%': -2.8645304098119544, '10%': -2.568362253987091}",0.4744634445774877,0.8988637753600911,30.249299999999998
